6/16/2023,1,10,4.5,3.5,0,9,0.75
6/17/2023,1,50,2.2,0,0,9,0.75
6/24/2023,1,30,0.8,0,0,9,0.75
6/26/2023,1,20,1.4,0.8,0,9,0.75
6/27/2023,1,20,0,0,0,9,0
6/28/2023,0.5,20,3.4,0,0,9,0.75
6/30/2023,0.25,5,3,4,0,9,0.75
7/1/2023,0.5,10,3.4,3,0,9,0.75
7/2/2023,1,20,2.4,1.8,0,9,0.75
7/4/2023,0.5,10,3.8,1.4,0,9,0.75
7/5/2023,1,20,3,0.25,0,9,0.75
7/6/2023,1,5,2.8,3,0,9,0.75
7/7/2023,1,10,3.2,4,0,9,0.75
7/8/2023,1.5,73,0,0,2.5,9,07/9/2023,1,10,0,0,0,9,0.75
